1,3,7
1,21,26
1,27,18
1,27,87
1,30,30
1,33,32
1,33,34
1,35,44
1,41,8
1,41,20
1,45,49
1,45,56
1,46,66
1,48,7
1,48,9
1,49,83
1,49,133
1,50,114
1,50,219
1,50,220
1,53,104
1,58,8
1,64,29
1,66,72
1,67,25
1,68,19
1,68,20
1,68,21
1,68,38
1,70,36
2,3,9
2,4,133
2,12,16
2,12,68
2,14,2
2,14,15
2,15,17
2,16,29
2,26,29
2,29,74
3,1,29
3,4,12
3,4,65
3,4,83
3,4,96
3,4,104
3,11,41
3,12,64
3,14,1
3,15,10
3,16,105
3,18,110
3,19,54
3,20,118
3,21,10
3,23,12
3,23,13
3,29,36
3,34,42
3,34,64
3,37,44
3,39,17
3,40,50
3,41,3
3,41,10
3,42,5
3,43,129
3,43,130
3,46,11
3,46,12
3,47,55
3,47,101
3,49,215
4,3,38
4,3,75
4,4,21
4,4,35
4,7,39
4,8,101
4,12,7
4,12,59
4,16,24
4,16,107
4,16,129
4,16,138
4,19,126
4,19,127
4,19,159
4,19,216
4,20,25
4,20,54
4,20,77
4,20,86
4,23,37
4,27,4
4,27,42
4,30,23
4,33,15
4,35,26
4,35,27
4,35,29
4,38,19
4,40,25
